origem;dataset;titulo_base;modulo;tabela_python;coluna_python;tipo;obrigatoria;valor_padrao_se_ausente;faz_parte_da_chave_unica;cabecalhos_aceitos_na_planilha;descricao
Excel (upload);vendas;Venda;VENDA;fato_vendas;valor;numero;não;;não;valor | valor total | vlr | valor faturado | receita | valor r$;Valor financeiro em reais, quando disponível
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;data;data;sim;;sim;data | data da atividade | dt atividade | data atividade | data execucao | data da execucao | data do termo | data venda | data da venda | data implantacao | data da implantacao | data base | dt | competencia;Data do registro (base para mês, dia útil e acumulados)
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;cidade;texto;não;;não;cidade | municipio | cidade cliente | d_cadastro cidade | cidade_cadastro | localidade | interior cidade;Cidade / município do registro
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;equipe;texto;não;;sim;equipe | recurso | time | turma | equipe recurso | nome da equipe | colaborador;Equipe / recurso responsável
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;frente;texto;não;;não;frente | canal | segmento | frente de trabalho | tipo de frente | origem;Frente de atuação (Comercial, VCG, Serviços, VCG Rio Bonito, VCG SFI)
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;matricula;texto;não;;sim;matricula | matricula cliente | contrato | codigo cliente | cod cliente | inscricao;Matrícula / identificador do cliente ou contrato
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;tipo;texto;não;;não;tipo | tipo implantacao | tipo de implantacao | categoria | grupo | produto | tipo servico;Classificação Serviços x VCG da implantação
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;servico;texto;não;;sim;servico | descricao servico | atividade | descricao | servico executado;Serviço executado
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;faturado;booleano;não;;não;faturado | situacao faturamento | faturada | status faturamento | implantacao faturada | faturamento;Indica se a implantação já foi faturada (Sim/Não, Faturado/Não Faturado)
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;quantidade;numero;não;1.0;não;quantidade | qtd | qtde | quantidade realizada | volume | total;Quantidade do registro (1 quando cada linha é um evento)
Excel (upload);implantacao;Implantação;IMPLANTACAO;fato_implantacao;valor;numero;não;;não;valor | valor total | vlr | valor faturado | receita | valor r$;Valor financeiro em reais, quando disponível
Excel (upload);programacao;Programação Diária;PROGRAMACAO;fato_programacao;data;data;sim;;sim;data | data programacao | data da programacao | dia | data prog | data execucao;Data da programação (PBIX: Medidas.Data Programação)
Excel (upload);programacao;Programação Diária;PROGRAMACAO;fato_programacao;regiao;texto;sim;;sim;regiao | regiao | polo | base | area | regional;Região da programação (PBIX: Programação.Regiao)
Excel (upload);programacao;Programação Diária;PROGRAMACAO;fato_programacao;recurso;texto;sim;;sim;recurso | equipe | recurso programado | time | turma | colaborador;Recurso/equipe programada (PBIX: Programação.Recurso)
Excel (upload);programacao;Programação Diária;PROGRAMACAO;fato_programacao;projeto;texto;não;;sim;projeto | projeto principal | obra | contrato | programa;Projeto principal (PBIX: Medidas.Projeto Principal)
Excel (upload);programacao;Programação Diária;PROGRAMACAO;fato_programacao;cidade;texto;não;;não;cidade | municipio | cidade cliente | d_cadastro cidade | cidade_cadastro | localidade | interior cidade;Cidade / município do registro
Excel (upload);programacao;Programação Diária;PROGRAMACAO;fato_programacao;qtd_os;numero;sim;1.0;não;qtd_os | qtd os | os | quantidade os | ordens de servico | qtd ordens | os programadas | quantidade programada;Quantidade de O.S. programadas
